Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2018","2018","ha","270","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2019","2019","ha","250","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2020","2020","ha","240","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2021","2021","ha","230","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2017","2017","ha","1089","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2018","2018","ha","1130","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2019","2019","ha","1300","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2020","2020","ha","1370","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2021","2021","ha","1300","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01359.90","Other fruits, n.e.c.","2017","2017","ha","21282","I","Imputed value"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2017","2017","ha","1743","I","Imputed value"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2018","2018","ha","29390","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2019","2019","ha","39600","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2020","2020","ha","49610","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2021","2021","ha","61260","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01449.90","Other oil seeds, n.e.c.","2018","2018","ha","24230","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01449.90","Other oil seeds, n.e.c.","2019","2019","ha","19990","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01449.90","Other oil seeds, n.e.c.","2020","2020","ha","26200","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01449.90","Other oil seeds, n.e.c.","2021","2021","ha","29250","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01349.10","Other pome fruits","2018","2018","ha","3630","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01349.10","Other pome fruits","2019","2019","ha","3020","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01349.10","Other pome fruits","2020","2020","ha","3110","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01349.10","Other pome fruits","2021","2021","ha","3150","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01709.90","Other pulses n.e.c.","2017","2017","ha","81669","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01709.90","Other pulses n.e.c.","2018","2018","ha","297690","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01709.90","Other pulses n.e.c.","2019","2019","ha","250630","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01709.90","Other pulses n.e.c.","2020","2020","ha","226400","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01709.90","Other pulses n.e.c.","2021","2021","ha","221650","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01699","Other stimulant, spice and aromatic crops, n.e.c.","2017","2017","ha","4327","I","Imputed value"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01349.20","Other stone fruits","2018","2018","ha","500","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01349.20","Other stone fruits","2019","2019","ha","460","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01349.20","Other stone fruits","2020","2020","ha","380","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01349.20","Other stone fruits","2021","2021","ha","260","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2017","2017","ha","15063","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2018","2018","ha","34390","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2019","2019","ha","34110","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2020","2020","ha","34200","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2021","2021","ha","32720","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2017","2017","ha","16609","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2018","2018","ha","4560","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2019","2019","ha","5760","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2020","2020","ha","7360","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2021","2021","ha","9150","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01345","Peaches and nectarines","2017","2017","ha","84219","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01345","Peaches and nectarines","2018","2018","ha","80310","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01345","Peaches and nectarines","2019","2019","ha","77700","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01345","Peaches and nectarines","2020","2020","ha","72130","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01345","Peaches and nectarines","2021","2021","ha","72070","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01342.01","Pears","2017","2017","ha","21888","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01342.01","Pears","2018","2018","ha","21330","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01342.01","Pears","2019","2019","ha","20620","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01342.01","Pears","2020","2020","ha","20220","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01342.01","Pears","2021","2021","ha","20020","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01705","Peas, dry","2017","2017","ha","173854","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01705","Peas, dry","2018","2018","ha","149020","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01705","Peas, dry","2019","2019","ha","145400","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01705","Peas, dry","2020","2020","ha","116990","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01705","Peas, dry","2021","2021","ha","115330","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01242","Peas, green","2017","2017","ha","14263","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01242","Peas, green","2018","2018","ha","13830","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01242","Peas, green","2019","2019","ha","16690","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01242","Peas, green","2020","2020","ha","16040","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01242","Peas, green","2021","2021","ha","19110","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01930.01","Peppermint, spearmint","2017","2017","ha","34","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01359.01","Persimmons","2017","2017","ha","18526","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01375","Pistachios, in shell","2017","2017","ha","20415","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01346","Plums and sloes","2017","2017","ha","15199","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01346","Plums and sloes","2018","2018","ha","14640","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01346","Plums and sloes","2019","2019","ha","14850","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01346","Plums and sloes","2020","2020","ha","14410","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01346","Plums and sloes","2021","2021","ha","13690","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01321","Pomelos and grapefruits","2017","2017","ha","2066","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01321","Pomelos and grapefruits","2018","2018","ha","2240","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01321","Pomelos and grapefruits","2019","2019","ha","2430","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01321","Pomelos and grapefruits","2020","2020","ha","2630","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01321","Pomelos and grapefruits","2021","2021","ha","2830","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01448","Poppy seed","2017","2017","ha","11000","E","Estimated value"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01510","Potatoes","2017","2017","ha","70878","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01510","Potatoes","2018","2018","ha","67490","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01510","Potatoes","2019","2019","ha","66650","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01510","Potatoes","2020","2020","ha","65400","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01510","Potatoes","2021","2021","ha","63280","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01235","Pumpkins, squash and gourds","2017","2017","ha","14957","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01235","Pumpkins, squash and gourds","2018","2018","ha","15160","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01235","Pumpkins, squash and gourds","2019","2019","ha","14950","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01235","Pumpkins, squash and gourds","2020","2020","ha","15550","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01235","Pumpkins, squash and gourds","2021","2021","ha","16590","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01930.02","Pyrethrum, dried flowers","2017","2017","ha","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01342.02","Quinces","2017","2017","ha","1420","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01443","Rape or colza seed","2017","2017","ha","95801","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01443","Rape or colza seed","2018","2018","ha","78530","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01443","Rape or colza seed","2019","2019","ha","70260","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01443","Rape or colza seed","2020","2020","ha","71470","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01443","Rape or colza seed","2021","2021","ha","92200","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01353.01","Raspberries","2017","2017","ha","2482","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01353.01","Raspberries","2018","2018","ha","2570","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01353.01","Raspberries","2019","2019","ha","2490","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01353.01","Raspberries","2020","2020","ha","2670","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01353.01","Raspberries","2021","2021","ha","2420","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0113","Rice","2017","2017","ha","107604","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0113","Rice","2018","2018","ha","105010","A","Official figure"
